コープ神戸データ
店舗名,年商,レジ客数,客単価,売場面積（坪）,駐車場台数,坪面積,合計徒歩人口,総数０〜４歳,総数５〜９歳,総数１０〜１４歳,総数１５〜１９歳,総数２０〜２４歳,総数２５〜２９歳,総数３０〜３４歳,総数３５〜３９歳,総数４０〜４４歳,総数４５〜４９歳,総数５０〜５４歳,総数５５〜５９歳,総数６０〜６４歳,総数６５〜６９歳,総数７０〜７４歳,総数７５〜
既存店A-2,"3,250,441,443","766,937",4238.2118,2192,754,1482865.622,3328,137,129,134,134,102,158,172,190,252,231,233,223,213,248,230,542
既存店A-3,"2,595,644,109","841,627",3084.078944,547,143,4745236.031,17679,723,931,1013,1005,747,625,812,1163,1590,1677,1073,1388,1228,970,936,1798
既存店A-4,"5,765,808,691","1,516,410",3802.275566,858,1000,6720056.749,4904,173,294,294,266,188,153,212,304,395,337,387,351,451,429,252,418
既存店B-1,"2,890,543,434","1,392,645",2075.578079,535,320,5402884.923,3867,143,152,174,175,171,194,224,268,248,235,223,255,332,278,67,728
既存店B-2,"7,143,125,420","2,115,294",3376.894852,556,540,12847347.88,29285,1116,1114,1236,1356,1458,1497,1667,1927,2459,2396,2047,1839,1765,2191,1744,3473
既存店B-3,"2,725,103,662","1,247,350",2184.714524,689,250,3955157.71,9014,525,662,535,467,351,368,484,743,816,646,685,610,584,527,323,688
既存店B-4,"2,402,557,110","1,044,313",2300.610171,674,240,3564624.792,16425,840,599,524,656,1087,811,1398,1413,1445,1234,1085,843,910,1172,859,1549
既存店B-5,"5,780,934,391","1,703,228",3394.104836,540,362,10705434.06,19837,822,790,772,788,867,747,1079,1298,1682,1704,1459,1272,1221,1498,1156,2682
既存店B-6,"2,631,490,170","1,369,179",1921.94751,433,41,6077344.503,17274,733,725,649,651,730,987,1076,1111,1418,1180,1094,973,1060,1239,1077,2571
既存店B-7,"3,227,385,118","1,569,149",2056.774161,481,653,6709740.37,20156,1002,885,873,954,1097,1275,1500,1744,1965,1703,1031,1378,1180,942,900,1727
既存店B-8,"2,719,154,362","1,293,122",2102.782539,354,59,7681227.011,12653,493,593,656,729,674,516,601,759,1149,1102,715,927,875,753,710,1401
既存店C-2,"1,237,209,134","401,582",3080.83812,419,197,2952766.43,6680,299,376,426,464,403,302,345,420,619,570,454,359,328,410,344,561
既存店C-3,"2,320,681,970","855,897",2711.403323,728,151,3187749.959,19308,790,912,1154,1222,953,1067,1059,1164,1756,1574,1350,1094,1027,1216,1006,1964
既存店C-4,"997,427,136","427,022",2335.774588,398,176,2506098.332,6279,201,246,301,322,241,279,304,389,464,387,383,356,697,518,541,650
既存店C-5,"1,649,701,389","490,573",3362.805105,1482,305,1113158.832,1788,41,56,62,72,63,54,58,88,109,109,101,97,133,193,189,363
既存店C-6,"1,022,581,338","437,724",2336.132673,477,62,2143776.39,22322,990,1034,1013,1115,1039,1104,1322,1614,1943,1766,1221,1591,1588,1155,1238,2589
既存店C-7,"1,531,672,758","814,925",1879.52604,367,28,4173495.253,7787,321,299,327,339,446,439,456,458,562,483,481,491,596,711,519,859
既存店C-8,"1,251,539,884","384,131",3258.106958,1818,528,688415.7778,414,23,22,21,20,24,29,35,37,41,30,24,22,17,19,15,35
既存店C-9,"1,315,421,476","595,089",2210.461756,469,62,2804736.623,11985,344,425,487,570,483,596,570,577,803,773,682,763,875,1133,985,1919
既存店C-11,"1,190,566,955","555,995",2141.32673,320,62,3720521.734,19393,590,670,782,921,890,866,970,1119,1395,1278,1276,1126,1384,1733,1588,2805
既存店C-12,"1,250,450,797","538,874",2320.488272,560,276,2232947.852,6013,158,225,265,273,187,188,259,355,391,329,360,284,827,521,493,898
既存店C-13,"1,326,659,056","470,145",2821.808285,402,200,3300146.905,9225,281,303,311,308,302,349,382,451,519,421,396,403,631,509,1356,2303
既存店C-14,"2,094,750,853","781,258",2681.253636,373,221,5615954.029,10770,328,413,493,533,479,558,457,543,627,578,873,1022,1045,931,493,1397
既存店C-15,"1,419,570,977","714,433",1986.989651,788,146,1801486.011,21023,814,755,928,1038,874,1000,1167,1316,1698,1547,1026,1271,1540,1169,1712,3168
既存店C-16,"1,334,082,965","554,573",2405.603888,252,53,5293980.02,12621,567,547,498,536,604,496,742,843,961,823,781,684,795,934,771,2039
既存店C-17,"1,333,740,267","572,273",2330.601421,テナント111,43,#VALUE!,27931,1486,1551,1615,1582,1328,1465,1882,2358,2759,2489,1630,2077,2125,1685,771,1128
既存店C-18,"1,486,794,833","793,645",1873.375165,144,0,10324964.12,21533,762,691,668,779,1188,1527,1666,1814,1946,1799,1492,1285,1234,1512,1131,2039
既存店C-19,"1,607,816,081","608,352",2642.904241,355,112,4529059.383,6250,187,225,254,245,189,171,229,343,471,372,284,300,437,644,771,1128
既存店C-20,"1,558,106,654","609,220",2557.543505,477,85,3266470.973,2650,86,104,123,141,106,105,112,156,202,171,157,144,181,259,232,371
既存店C-21,"1,664,346,378","674,834",2466.304866,449,97,3706784.806,21912,760,801,873,953,990,1256,1331,1515,1929,1664,1206,1377,1765,1430,1466,2596
既存店C-22,"1,668,110,208","757,163",2203.105815,429,52,3888368.783,26943,1175,1068,1149,1261,1262,1461,1758,1937,2475,2273,1546,1979,1886,1585,1557,2571
既存店C-23,"1,963,235,286","758,988",2586.648651,430,159,4565663.456,8025,324,341,363,332,378,435,491,594,538,471,409,459,567,465,166,1692
既存店D-1,"1,065,978,582","664,221",1604.855285,220,49,4845357.191,10113,388,416,394,438,404,404,472,642,755,689,693,611,652,835,685,1635
既存店D-2,"1,427,384,092","685,211",2083.130732,399,72,3577403.739,13422,448,484,632,727,571,570,592,767,1074,1132,793,949,1127,800,946,1810
既存店D-4,"2,038,634,581","835,591",2439.751722,273,141,7467525.938,16468,616,699,786,787,701,661,777,1055,1370,1283,1031,1181,1271,998,1020,2232
既存店D-5,"1,390,039,476","672,752",2066.19895,328,68,4237925.232,8207,322,327,371,448,415,511,450,482,662,563,559,489,469,631,563,945
既存店D-6,"1,435,445,578","680,706",2108.75999,373,59,3848379.566,31616,1423,1335,1435,1518,1680,1793,2035,2295,2710,2455,1985,1735,1832,2251,1711,3423
既存店D-7,"1,618,074,679","972,946",1663.067302,237,62,6827319.321,34555,1159,1203,1296,1903,2083,2975,2073,2314,2881,2559,2225,1906,1925,2275,1834,3944
既存店D-8,"1,491,003,543","672,241",2217.959843,238,64,6264720.769,7081,177,271,306,303,226,195,232,350,494,501,372,396,626,426,714,1492
既存店D-9,"1,502,818,803","994,013",1511.870371,129,0,11649758.16,11985,344,425,487,570,483,596,570,577,803,773,682,763,875,1133,985,1919
既存店D-10,"1,976,086,806","1,201,866",1644.182302,325,320,6080267.095,18755,664,643,671,985,1564,1190,1160,1246,1418,1333,995,1170,1427,1024,1209,2056
既存店E-1,"1,180,974,918","386,518",3055.420234,687,279,1719031.904,5573,251,278,365,374,280,239,310,318,458,476,318,389,364,377,257,519
既存店E-2,"745,434,735","355,629",2096.102216,テナント99,122,#VALUE!,11549,470,557,543,602,536,486,589,755,973,822,630,742,941,681,851,1371
既存店E-3,"759,733,632","676,516",1123.009111,402,1278,1889884.657,13281,551,572,527,512,509,725,840,1053,1209,1026,671,764,1052,750,912,1608
既存店E-4,"174,679,333","92,927",1879.747899,257,35,679686.1206,21685,1058,1064,1252,1480,1359,1108,1302,1536,1968,1849,1083,1511,1196,1030,947,1942
既存店E-5,"825,798,926","321,060",2572.101557,364,93,2268678.368,12915,597,638,672,742,622,598,740,916,1185,979,586,790,1003,764,813,1270
既存店E-6,"757,692,295","338,947",2235.430008,526,70,1440479.648,9559,346,343,387,430,438,412,521,567,731,645,551,537,956,702,818,1175
既存店E-7,"788,326,602","368,265",2140.650352,411,148,1918069.591,4255,181,196,198,239,257,232,189,246,240,239,433,357,353,419,192,284
既存店E-8,"931,913,884","380,746",2447.599933,446,437,2089493.013,1804,105,97,102,90,76,84,108,133,160,117,92,83,115,157,118,167
既存店E-9,"937,639,794","396,812",2362.932053,450,173,2083643.987,299,17,17,16,15,14,19,24,23,28,19,19,14,17,20,14,23
既存店E-10,"685,462,657","308,170",2224.300409,439,117,1561418.353,9062,370,425,481,554,452,382,474,615,730,704,645,513,588,707,538,884
既存店E-11,"831,371,906","346,377",2400.193737,251,95,3312238.669,19221,1033,1127,1004,1009,711,687,1048,1470,1632,1527,986,1256,1266,1043,1167,2255
既存店E-12,"1,284,176,941","417,284",3077.465086,1196,352,1073726.539,583,18,21,30,38,23,29,27,37,49,43,32,36,44,53,37,66
既存店E-13,"1,207,242,178","559,404",2158.086424,258,86,4679233.248,16394,662,767,734,710,659,661,843,1035,1178,1186,1060,985,1090,1415,1174,2235
既存店E-14,"1,126,860,003","580,502",1941.181948,257,26,4384669.272,19451,759,870,976,926,808,870,1053,1233,1660,1553,1367,1181,1252,1509,1160,2274
既存店E-15,"1,144,094,483","429,510",2663.720246,777,122,1472451.072,5500,232,272,282,242,232,209,287,385,466,415,280,274,348,481,474,621
既存店E-16,"1,266,918,224","763,318",1659.751537,301,34,4209030.645,37326,1580,1748,1929,2103,1812,2202,2089,2555,3565,3013,2551,2122,2050,2492,1962,3553
既存店F-1【Ｃ兵庫】,"1,001,662,933","572,611",1749.290414,446,45,2245881.016,23439,832,728,805,839,1259,1851,1845,1643,1897,1634,1395,1264,1368,1714,1507,2858
既存店F-2,"1,013,847,456","474,042",2138.729176,288,30,3520303.667,10910,301,313,419,571,471,601,512,541,862,770,704,703,801,989,837,1515
既存店F-3,"1,026,226,261","509,661",2013.546771,169,13,6072344.74,19192,923,841,747,983,1129,1059,1291,1386,1500,1281,1120,1010,1081,1320,1092,2429
既存店F-4,"1,074,027,944","675,084",1590.954524,204,0,5264842.863,18984,986,978,819,827,785,970,1225,1570,1810,1516,1100,1243,1345,1109,999,1702
