,Unnamed: 0,店舗名,売場面積（坪）,駐車場台数,坪単価,合計徒歩人口,総数４５〜４９歳,Label
0,0,既存店A-2,2192,754,1482865.622,3328,231,3241061129.428507
1,1,既存店A-3,547,143,4745236.031,17679,1677,2605456446.8343177
2,2,既存店A-4,858,1000,6720056.749,4904,337,5768900745.219095
3,3,既存店B-1,535,320,5402884.9229999995,3867,235,2901738379.0135093
4,4,既存店B-2,556,540,12847347.88,29285,2396,7134864390.382396
5,5,既存店B-3,689,250,3955157.71,9014,646,2711466938.7097425
6,6,既存店B-4,674,240,3564624.792,16425,1234,2411923459.4987664
7,7,既存店B-5,540,362,10705434.06,19837,1704,5774615721.349239
8,8,既存店B-6,433,41,6077344.503,17274,1180,2614540878.3703527
9,9,既存店B-7,481,653,6709740.37,20156,1703,3247410440.806599
10,10,既存店B-8,354,59,7681227.011,12653,1102,2722108937.648645
